token,pos
Около,PREP
дома,NOUN
под,PREP
деревом,NOUN
стоял,VERB
накрытый,PRTF
стол,NOUN
а,CONJ
за,PREP
столом,NOUN
пили,VERB
чай,NOUN
Мартовский,ADJ
Заяц,NOUN
и,CONJ
Болванщик,NOUN
Волков,ADJ
между,PREP
ними,PRON
крепко,ADVB
спала,VERB
Мышь-Соня,NOUN
Болванщик,NOUN
и,CONJ
Заяц,NOUN
облокотились,VERB
на,PREP
нее,PRON
словно,CONJ
на,PREP
подушку,NOUN
и,CONJ
разговаривали,VERB
через,PREP
ее,PRON
голову,NOUN
Бедная,ADJ
Мышь-Соня,NOUN
подумала,VERB
Алиса,NOUN
Как,PRCL
ей,PRON
наверно,ADVB
неудобно,ADVB
Впрочем,CONJ
она,PRON
спит,VERB
значит,CONJ
ей,PRON
все,PRON
равно,ADVB
Стол,NOUN
был,VERB
большой,ADJ
но,CONJ
чаевники,NOUN
сидели,VERB
с,PREP
одного,NUMR
края,NOUN
на,PREP
уголке,NOUN
Завидев,GRND
Алису,NOUN
Лидделл,NOUN
они,PRON
закричали,VERB
Занято,ADVB
Занято,ADVB
Мест,NOUN
нет,ADVB
Места,NOUN
сколько,ADVB
угодно,ADVB
Места,NOUN
нет,ADVB
только,ADVB
в,PREP
МФТИ,NOUN
возмутилась,VERB
Алиса,NOUN
и,CONJ
уселась,VERB
в,PREP
большое,ADJ
кресло-качалку,NOUN
во,CONJ
главе,NOUN
стола,NOUN
Выпей,VERB
вина,NOUN
бодро,ADVB
предложил,VERB
Мартовский,ADJ
Заяц,NOUN
Алиса,NOUN
посмотрела,VERB
на,PREP
стол,NOUN
но,CONJ
не,PRCL
увидела,VERB
ни,PRCL
бутылки,NOUN
ни,PRCL
рюмок,NOUN
Я,PRON
что-то,PRCL
его,PRON
не,PRCL
вижу,VERB
сказала,VERB
она,PRON
Еще,ADVB
бы,PRCL
Его,PRON
здесь,ADVB
нет,ADVB
отвечал,VERB
Мартовский,ADJ
Заяц,NOUN
Зачем,ADVB
же,PRCL
вы,PRON
мне,PRON
его,PRON
предлагаете,VERB
рассердилась,VERB
Алиса,NOUN
Это,PRCL
не,PRCL
очень-то,ADVB
вежливо,ADVB
А,CONJ
зачем,ADVB
ты,PRON
уселась,VERB
без,PREP
приглашения,NOUN
ответил,VERB
Мартовский,ADJ
Заяц,NOUN
Это,PRCL
тоже,ADVB
невежливо,ADVB
Я,PRON
не,PRCL
знала,VERB
что,CONJ
это,PRCL
стол,NOUN
только,ADVB
для,PREP
вас,PRON
и,CONJ
студентов,NOUN
ВГИКа,NOUN
сказала,VERB
Алиса,NOUN
Приборов,NOUN
здесь,ADVB
гораздо,ADVB
больше,COMP
Что-то,CONJ
ты,PRON
слишком,ADVB
обросла,VERB
заговорил,VERB
вдруг,ADVB
Болванщик,NOUN
До,PREP
сих,PRON
пор,NOUN
он,PRON
молчал,VERB
и,CONJ
только,ADVB
с,PREP
любопытством,NOUN
разглядывал,VERB
Алису,NOUN
Не,PRCL
мешало,ADVB
бы,PRCL
постричься,VERB
Научитесь,VERB
не,PRCL
переходить,VERB
на,PREP
личности,NOUN
отвечала,VERB
Алиса,NOUN
не,PRCL
без,PREP
строгости,NOUN
Это,PRCL
очень,ADVB
грубо,ADVB
Болванщик,NOUN
Волков,ADJ
широко,ADVB
открыл,VERB
глаза,NOUN
но,CONJ
не,PRCL
нашелся,VERB
что,CONJ
ответить,VERB
Чем,PRON
Тянь-Шань,NOUN
похож,ADJ
на,PREP
диван-кровать,NOUN
спросил,VERB
он,PRON
наконец,ADVB
Так-то,ADVB
лучше,COMP
подумала,VERB
Алиса,NOUN
Загадки,NOUN
это,PRCL
гораздо,ADVB
веселее,COMP
По-моему,ADVB
это,PRON
я,PRON
могу,VERB
отгадать,VERB
сказала,VERB
она,PRON
вслух,ADVB
Ты,PRON
хочешь,VERB
сказать,VERB
что,CONJ
думаешь,VERB
будто,CONJ
знаешь,VERB
ответ,NOUN
на,PREP
эту,PRON
загадку,NOUN
спросил,VERB
Мартовский,ADJ
Заяц,NOUN